layer,avg_U_similarity_ft,avg_V_similarity_ft,min_U_similarity_ft,max_U_similarity_ft,spectral_intruder_count_ft,layer_id,module,drift_U_ft,drift_V_ft,spectral_drift_ft,model_ft,avg_U_similarity_lora,avg_V_similarity_lora,min_U_similarity_lora,max_U_similarity_lora,spectral_intruder_count_lora,drift_U_lora,drift_V_lora,spectral_drift_lora,model_lora,delta_ft_lora
model.layers.11.self_attn.v_proj.weight,0.9989998996257782,0.9989896237850188,0.9972686171531676,0.9998827576637268,0,11,v_proj,0.001000100374221824,0.0010103762149812345,0.0020104765892030585,finetuned,1.0000000178813937,1.0000000894069672,0.9999998807907104,1.0000001192092896,0,-1.7881393699070713e-08,-8.940696716308594e-08,-1.0728836086215665e-07,lora,0.0020105838775639207
model.layers.11.self_attn.o_proj.weight,0.9999004781246186,0.999899050593376,0.9991201162338256,0.999999225139618,0,11,o_proj,9.952187538142532e-05,0.00010094940662397356,0.00020047128200539888,finetuned,1.0000000894069672,1.000000050663948,0.9999999403953552,1.000000238418579,0,-8.940696716308594e-08,-5.066394792585527e-08,-1.400709150889412e-07,lora,0.00020061135292048782
model.layers.11.mlp.gate_proj.weight,0.9998989135026932,0.9999138116836548,0.9995856881141664,0.9999892115592957,0,11,gate_proj,0.00010108649730677932,8.618831634521484e-05,0.00018727481365199417,finetuned,1.0000000953674315,1.0000000804662703,0.9999999403953552,1.000000238418579,0,-9.536743150739824e-08,-8.046627031355058e-08,-1.7583370182094882e-07,lora,0.00018745064735381511
model.layers.11.mlp.up_proj.weight,0.5984622478485108,0.5984770715236664,-0.999958634376526,0.9998497366905212,4,11,up_proj,0.40153775215148924,0.40152292847633364,4.803060680627823,finetuned,1.000000038743019,1.0000001430511474,0.9999996423721312,1.000000238418579,0,-3.8743019015186064e-08,-1.4305114737211966e-07,-1.8179416638730572e-07,lora,4.803060862421989
model.layers.11.mlp.down_proj.weight,0.8998631715774537,0.8998507916927337,-0.9999933242797852,0.999998927116394,1,11,down_proj,0.10013682842254634,0.10014920830726626,1.2002860367298127,finetuned,1.000000050663948,1.0000000864267349,0.9999998211860656,1.000000238418579,0,-5.066394792585527e-08,-8.642673487990749e-08,-1.3709068280576275e-07,lora,1.2002861738204955
model.layers.12.self_attn.q_proj.weight,0.9999239891767502,0.999925720691681,0.9997312426567078,0.9999927282333374,0,12,q_proj,7.60108232498169e-05,7.427930831904739e-05,0.00015029013156886428,finetuned,1.0000000238418578,1.0000001221895218,0.9999998807907104,1.000000238418579,0,-2.3841857821338408e-08,-1.221895218339597e-07,-1.460313796552981e-07,lora,0.00015043616294851958
model.layers.12.self_attn.k_proj.weight,0.9998163908720016,0.999812099337578,0.9989691972732544,0.9999986290931702,0,12,k_proj,0.00018360912799841866,0.00018790066242202474,0.0003715097904204434,finetuned,1.0000000417232513,1.0000001907348632,0.9999999403953552,1.000000238418579,0,-4.1723251298364517e-08,-1.9073486323684108e-07,-2.324581145352056e-07,lora,0.0003717422485349786
model.layers.12.self_attn.v_proj.weight,0.9985391497612,0.9985228508710862,0.9938996434211732,0.9999470710754396,0,12,v_proj,0.0014608502388000488,0.001477149128913835,0.002937999367713884,finetuned,1.000000050663948,1.0000000655651091,0.9999999403953552,1.000000238418579,0,-5.066394792585527e-08,-6.556510911970292e-08,-1.1622905704555819e-07,lora,0.0029381155967709294
model.layers.12.self_attn.o_proj.weight,0.999513790011406,0.9995071947574616,0.9977984428405762,0.9999710321426392,0,12,o_proj,0.0004862099885940552,0.0004928052425383633,0.0009790152311324185,finetuned,1.000000038743019,1.000000011920929,0.9999998211860656,1.000000238418579,0,-3.8743019015186064e-08,-1.1920928910669204e-08,-5.066394792585527e-08,lora,0.0009790658950803444
model.layers.12.mlp.gate_proj.weight,0.9999380856752396,0.9999511510133744,0.9998047947883606,0.9999920129776,0,12,gate_proj,6.191432476043701e-05,4.884898662560477e-05,0.00011076331138604179,finetuned,1.000000047683716,0.9999999940395355,0.9999997615814208,1.0000003576278689,0,-4.7683716086766026e-08,5.960464455334602e-09,-4.1723251631431424e-08,lora,0.00011080503463767322
model.layers.12.mlp.up_proj.weight,0.9997129917144776,0.9997342854738236,0.999146282672882,0.9999629855155944,0,12,up_proj,0.00028700828552241653,0.00026571452617640823,0.0005527228116988248,finetuned,1.0000000089406966,1.0000001549720765,0.9999997615814208,1.000000238418579,0,-8.940696627490752e-09,-1.5497207650483347e-07,-1.6391277313232422e-07,lora,0.0005528867244719571
model.layers.12.mlp.down_proj.weight,0.8999080240726471,0.899896439909935,-0.999984323978424,0.9999986290931702,1,12,down_proj,0.10009197592735286,0.10010356009006505,1.200195536017418,finetuned,1.000000038743019,1.0000002712011338,0.9999998807907104,1.000000238418579,0,-3.8743019015186064e-08,-2.7120113377243626e-07,-3.0994415278762233e-07,lora,1.2001958459615707
model.layers.13.self_attn.q_proj.weight,0.9998976975679398,0.9998990565538406,0.999750792980194,0.9999850988388062,0,13,q_proj,0.0001023024320602195,0.0001009434461594072,0.0002032458782196267,finetuned,1.000000035762787,1.0000000685453414,0.9999999403953552,1.000000238418579,0,-3.576278695405222e-08,-6.854534140288138e-08,-1.043081283569336e-07,lora,0.00020335018634798363
model.layers.13.self_attn.k_proj.weight,0.9933476030826568,0.9933458060026168,0.9344481229782104,0.999990463256836,0,13,k_proj,0.006652396917343206,0.0066541939973832065,0.013306590914726413,finetuned,1.0000000566244125,1.0000000864267349,0.9999999403953552,1.000000238418579,0,-5.662441249221217e-08,-8.642673487990749e-08,-1.4305114737211966e-07,lora,0.013306733965873785
